,TweetId
757,1036282621708386305
758,1036282620693233667
759,1036282620349280256
760,1036282620051521536
761,1036282613881696256
762,1036282610425757696
763,1036282610224443392
764,1036282609968537600
765,1036282602515193856
766,1036282598438445056
767,1036282544176738306
768,1036282523410677760
769,1036282519530950656
770,1036282515651276801
771,1036282492506886144
772,1036282465784983552
773,1036282456498941954
774,1036282453139382272
775,1036282444465336320
776,1036282430355906560
777,1036282401264201728
778,1036282373724405760
779,1036282363028942848
780,1036282351024832512
781,1036282350416613376
782,1036282267927076864
783,1.03628E+18
784,1036282243197689856
785,1036282232430845952
786,1036282217071341573
787,1036282180782182400
788,1036279791509331968
789,1036277401771098119
790,1036268762398253056
791,1036267866679472131
792,1036246423614803968
793,1036234837420634112
794,1036227337392517120
795,1036222450931920896
796,1036218272759332864
797,1036211837077876736
798,1036208626573045760
799,1036197907009916928
800,1036192690520518662
801,1036161651064463362
802,1036159623474991104
803,1036155941165641732
804,1036155174144765952
805,1036150182826663937
806,1036144328115187712
807,1036136501430632449
808,1036086309230657542
809,1036083691297099776
810,1036083526779596800
811,1036078443257942017
812,1036037985517674496
813,1035961448319602691
814,1035960763800793088
815,1035947138767892483
816,1035939254671630336
817,1035933495615320064
818,1035927938624094208
819,1035924816371404800
820,1035896821288259584
821,1035861419281895424
822,1035857748423057413
823,1035790940110311431
824,1039850597791551489
825,1040202351464857600
826,1040202348633706496
827,1040202197445894144
828,1040202186167345152
829,1040202120555888643
830,1040202086129065984
831,1040202009222295558
832,1040201832654614528
833,1040201663099875329
834,1040201425865736192
835,1040201260077654016
836,1040201247238832128
837,1040201206516342784
838,1040200923933495296
839,1040200753858654209
840,1040199899084713985
841,1040199757791199232
842,1040199412528631810
843,1040199374398095361
844,1040199366609383424
845,1040199279661465601
846,1040199225966055424
847,1040199213206917120
848,1040198958243438592
849,1040198676960956423
850,1040198643633070080
851,1040198548837621761
852,1040198167176925184
853,1040198078656118785
854,1040198040647290880
855,1040198016370655232
856,1040197830693019648
857,1040197722735824896
858,1040197525377048577
859,1040196880767041536
860,1040196826958376960
861,1040196778514034690
862,1040196723308724224
863,1040196469255417856
864,1040196469020479489
865,1040196418697228288
866,1040196336782475266
867,1040196127155474433
868,1040196115969331200
869,1040196114534883333
870,1040196080959410177
871,1040196075863375872
872,1040196036445261824
873,1040195987954913280
874,1040195930878869505
875,1040195806962302977
876,1040195648241324033
